"","Name","TransactionDate","Value"
"1","91 day T-bill","01-Apr-19",7.5
"2","91 day T-bill","02-Apr-19",7.5
"3","91 day T-bill","03-Apr-19",7.5
"4","91 day T-bill","04-Apr-19",7.5
"5","91 day T-bill","05-Apr-19",7.5
"6","91 day T-bill","06-Apr-19",7.5
"7","91 day T-bill","07-Apr-19",7.5
"8","91 day T-bill","08-Apr-19",7.444
"9","91 day T-bill","09-Apr-19",7.444
"10","91 day T-bill","10-Apr-19",7.444
"11","91 day T-bill","11-Apr-19",7.444
"12","91 day T-bill","12-Apr-19",7.444
"13","91 day T-bill","13-Apr-19",7.444
"14","91 day T-bill","14-Apr-19",7.444
"15","91 day T-bill","15-Apr-19",7.397
"16","91 day T-bill","16-Apr-19",7.397
"17","91 day T-bill","17-Apr-19",7.397
"18","91 day T-bill","18-Apr-19",7.397
"19","91 day T-bill","19-Apr-19",7.397
"20","91 day T-bill","20-Apr-19",7.397
"21","91 day T-bill","21-Apr-19",7.397
"22","91 day T-bill","22-Apr-19",7.305
"23","91 day T-bill","23-Apr-19",7.305
"24","91 day T-bill","24-Apr-19",7.305
"25","91 day T-bill","25-Apr-19",7.305
"26","91 day T-bill","26-Apr-19",7.305
"27","91 day T-bill","27-Apr-19",7.305
"28","91 day T-bill","28-Apr-19",7.305
"29","91 day T-bill","29-Apr-19",7.298
"30","92 day T-bill","30-Apr-19",7.298
